BU_CODE;WK_CODE;Gemeente;RES;Provincie;WarmteAllocatieOptie;Aantal_WoningEQ;Aantal_woningen;Aantal_utiliteiten;Vraag_Aardgas;Vraag_MT_Warmte;Vraag_LT_Warmte;Vraag_ElektrischeWarmte;Vraag_Koude;Vraag_Elektriciteit;Vraag_Warmte_totaal;Vraag_Warmte_perhectare;CO2_reductie;Nat_abskosten;Nat_meerkosten;Nat_meerkost_CO2;CO2_uitstoot_gas;CO2_uitstoot_elek;Maatschappelijke_kosten;Aansl_aardgas;Aansl_eWP;Aansl_MT;Aansl_LT;Aansl_hWPgroengas;Aansl_HRgroengas;nr_OrgEntity
BU04170327;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;371.030769;246;125.030769;0;41;0;0;2;22;56;247;1259;1205846;451184;358;0;0;835339.527;0;0;256;0;0;0;5397
BU04170328;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;2375.52308;2199;176.523077;0;31;0;0;2;16;43;1065;6640;5951709;2523038;380;0;0;3920690.72;0;0;2402;0;0;0;5398
BU04170329;WK041703;Laren;Noord-Holland Zuid;Noord-Holland;;380.276923;296;84.2769231;0;42;0;0;2;19;60;226;1594;1436035;544840;342;0;0;1033889.52;0;0;315;0;0;0;5399
BU04570001;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;1519.8;1194;325.8;0;27;0;0;2;21;38;1794;4209;3633426;1334662;317;0;0;2727116.87;0;0;1373;0;0;0;5610
BU04570002;WK045700;Weesp;Noord-Holland Zuid;Noord-Holland;;586.484615;513;73.4846154;0;26;0;0;2;15;36;2411;1461;1160567;442109;303;0;0;858274.427;0;0;560;0;0;0;5611
BU04570101;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;750.023077;118;632.023077;0;21;0;0;1;30;32;469;1871;2043690;755434;404;0;0;1626647.73;0;0;169;0;0;0;5612
BU04570102;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;415.707692;368;47.7076923;0;26;0;0;1;16;36;1681;945;793392;296572;314;0;0;572963.436;0;0;390;0;0;0;5613
BU04570103;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;333.415385;314;19.4153846;0;30;0;0;2;15;41;1122;832;728751;267492;321;0;0;490462.609;0;0;331;0;0;0;5614
BU04570104;WK045701;Weesp;Noord-Holland Zuid;Noord-Holland;;259.3;254;5.3;0;30;0;0;2;14;41;1134;662;539270;181989;275;0;0;355502.382;0;0;295;0;0;0;5615
BU04570201;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;1162.01538;1106;56.0153846;0;24;0;0;1;13;32;1487;2175;1935256;800917;368;0;0;1424668.88;0;0;1132;0;0;0;5616
BU04570202;WK045702;Weesp;Noord-Holland Zuid;Noord-Holland;;553.353846;500;53.3538462;0;23;0;0;2;13;31;1455;1078;1016121;403470;374;0;0;731067.666;0;0;551;0;0;0;5617
BU04570301;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;459.5;424;35.5;0;24;0;0;2;13;32;835;873;691524;231747;266;0;0;494056.221;0;0;458;0;0;0;5618
BU04570302;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1004.14615;930;74.1461538;0;23;0;0;2;15;32;1497;2099;1923383;739748;352;0;0;1347446.51;0;0;1085;0;0;0;5619
BU04570303;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;1030.17692;904;126.176923;0;22;0;0;2;14;29;1659;1853;1652177;579343;313;0;0;1231289.71;0;0;1004;0;0;0;5620
BU04570304;WK045703;Weesp;Noord-Holland Zuid;Noord-Holland;;2695.4;75;2620.4;0;13;0;0;1;19;22;720;5845;6609433;3031699;519;0;0;5750781.49;0;0;408;0;0;0;5621
BU04570401;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;756.723077;702;54.7230769;0;28;0;0;1;15;37;1147;1646;1475635;550505;335;0;0;961528.645;0;0;728;0;0;0;5622
BU04570402;WK045704;Weesp;Noord-Holland Zuid;Noord-Holland;;797.338462;797;0.338461538;0;27;0;0;1;12;36;1182;1660;1398748;556106;335;0;0;880344.307;0;0;801;0;0;0;5623
BU04570701;WK045707;Weesp;Noord-Holland Zuid;Noord-Holland;;165.461538;115;50.4615385;0;37;0;0;3;24;50;16;493;715551;257795;523;0;0;490159.955;0;0;144;0;0;0;5624
BU04570801;WK045708;Weesp;Noord-Holland Zuid;Noord-Holland;;220.430769;136;84.4307692;0;37;0;0;5;26;51;11;685;1174214;465577;680;0;0;862647.504;0;0;245;0;0;0;5625
BU04570901;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;627.553846;510;117.553846;0;27;0;0;2;22;36;810;1228;1186065;284208;231;0;0;721125.381;0;0;550;0;0;0;5626
BU04570902;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;297.507692;12;285.507692;0;16;0;0;1;28;24;413;525;704770;211771;404;0;0;576555.472;0;0;43;0;0;0;5627
BU04570903;WK045709;Weesp;Noord-Holland Zuid;Noord-Holland;;36.7461538;33;3.74615385;0;34;0;0;3;18;45;5;95;276348;45833;483;0;0;225946.224;0;0;38;0;0;0;5628
BU16960000;WK169600;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;939.369231;714;225.369231;0;30;0;0;2;21;43;77;2936;2980268;1131048;385;0;0;2076207.33;0;0;801;0;0;0;10098
BU16960100;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;190.769231;158;32.7692308;0;38;0;0;3;19;52;33;625;648172;230418;369;0;0;436253.613;0;0;183;0;0;0;10099
BU16960101;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;2964.28462;2674;290.284615;0;29;0;0;2;16;39;309;6980;6551777;2636774;378;0;0;4044587.92;0;0;3039;0;0;0;10100
BU16960102;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;88.9153846;75;13.9153846;0;39;0;0;3;17;53;65;286;321308;120408;420;0;0;214926.561;0;0;86;0;0;0;10101
BU16960103;WK169601;Wijdemeren;Noord-Holland Zuid;Noord-Holland;;42.5538462;38;4.55384615;0;44;0;0;4;16;60;11;152;228501;95550;629;0;0;164706.85;0;0;49;0;0;0;10102
